   , Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar 
 2000 Jan ,4138,149528,41261,11809,15792,1698,1479
 2000 Feb ,3538,88342,42072,13111,16981,3073,1525
 2000 Mar ,3628,102620,43849,16490,22217,2457,1790
 2000 Apr ,5527,100059,47993,19269,29985,2830,1971
 2000 May ,4586,91843,48783,18790,21959,2246,1831
 2000 Jun ,5533,105539,48426,14706,21446,3251,2062
 2000 Jul ,5448,128207,43423,13936,20357,2978,1669
 2000 Aug ,6658,96891,43952,14168,19311,3227,1822
 2000 Sep ,4545,94625,50267,13683,19266,2584,1655
 2000 Oct ,3958,105711,45592,15216,22009,2541,1704
 2000 Nov ,4477,94642,50641,14967,17934,2563,1906
 2000 Dec ,5877,155309,58491,14887,19493,2389,2677
 2001 Jan ,3830,115824,45594,12562,17330,2629,1713
 2001 Feb ,4373,94251,40761,14196,18039,2211,1639
 2001 Mar ,4668,110821,47514,17002,22656,2490,1808
 2001 Apr ,6392,94613,45923,21009,27816,2684,2211
 2001 May ,4867,99026,53572,19195,25807,2340,1595
 2001 Jun ,5522,109705,52523,15870,22556,3043,1962
 2001 Jul ,6083,135816,47020,14460,21522,3618,1754
 2001 Aug ,6596,107481,47436,15481,22090,3460,1601
 2001 Sep ,4665,98188,53851,14553,19644,3854,2038
 2001 Oct ,4436,115797,43037,15289,25476,2871,1783
 2001 Nov ,4418,99740,46272,14599,17845,2929,1622
 2001 Dec ,6414,183118,55216,16414,20177,2504,1949
 2002 Jan ,4031,105008,40207,13518,18648,2536,2048
 2002 Feb ,4090,90150,43635,13668,17579,2987,1367
 2002 Mar ,4517,114203,44116,20245,22804,2704,1768
 2002 Apr ,5508,98809,47413,20192,30425,3328,2086
 2002 May ,4283,99719,49524,21424,24040,2980,1698
 2002 Jun ,5132,116715,44066,16442,22060,3989,2060
 2002 Jul ,4915,139889,41200,13947,21246,4519,2052
 2002 Aug ,6290,105888,40172,13951,21075,4085,2144
 2002 Sep ,4529,102876,48193,13613,19413,3087,1775
 2002 Oct ,5100,117010,44455,16762,25699,3865,1799
 2002 Nov ,4599,105571,48399,15188,19006,3075,1696
 2002 Dec ,7053,197159,57267,16609,21870,3493,1844
 2003 Jan ,4190,128385,41067,14438,19668,2657,1807
 2003 Feb ,3789,100371,40312,15927,19673,4203,1395
 2003 Mar ,4147,103840,39542,15544,21581,2966,1687
 2003 Apr ,704,38859,13321,7796,6318,1094,986
 2003 May ,469,54851,14161,7357,8148,977,1052
 2003 Jun ,2386,94919,26966,11419,14363,2469,1504
 2003 Jul ,4043,139956,36568,15959,24007,6053,2146
 2003 Aug ,4079,113944,39574,18258,27273,5599,1873
 2003 Sep ,3748,114193,42631,16008,22090,4086,1730
 2003 Oct ,3411,116306,43748,18352,29792,4180,1705
 2003 Nov ,3462,159897,49202,17261,20073,4654,1602
 2003 Dec ,6724,176167,52321,18254,22812,5477,2044
 2004 Jan ,3192,139753,41704,14347,21826,5480,1829
 2004 Feb ,3351,119369,37077,16601,21433,5576,1680
 2004 Mar ,4033,126500,41179,19951,27951,7338,2190
